scenario,year,national_co2,is_actual
baseline,2023,11169.962000000001,True
baseline,2024,11282.290573833474,False
baseline,2025,11484.881008643511,False
baseline,2026,11687.703000073536,False
baseline,2027,11885.332736818484,False
baseline,2028,12086.317016354868,False
baseline,2029,12289.124868650202,False
baseline,2030,12494.630280104886,False
baseline,2031,12689.03299431219,False
baseline,2032,12888.85543970392,False
baseline,2033,13091.331884742609,False
baseline,2034,13296.027439359545,False
baseline,2035,13503.588452438898,False
