scope,model,split,n,mae,rmse,mape,smape,r2
province_pooled,core_drivers,train,930,24.582063788538917,40.87445225857573,0.1509140960974566,0.147751034313462,0.9425948086976245
national_yearly,core_drivers,train,31,360.58049763276443,410.55400619287883,0.07288945995804622,0.07309198065877956,0.9806423636600232
province_pooled,core_drivers,valid,90,72.83669125494224,105.51803887283792,0.22945157163663216,0.21135587103065573,0.786418910270329
national_yearly,core_drivers,valid,3,647.6576234685508,703.3229253948019,0.06046829263302691,0.05837435090156373,-6.326580817315859
province_pooled,core_drivers,all,1020,28.839825035574506,50.05717785202221,0.15784387335091327,0.15336322578850853,0.9247581540146788
national_yearly,core_drivers,all,34,385.91083226533385,444.2171489455752,0.07179347460583864,0.07179336626843698,0.9800575015792434
province_pooled,structure_drivers,train,930,23.611770976046063,40.44310585218051,0.13497446042093558,0.13409105246181202,0.9438000049975668
national_yearly,structure_drivers,train,31,367.18008088863706,427.1469661465704,0.07148631101338888,0.07173451542140093,0.979046026502664
province_pooled,structure_drivers,valid,90,66.99961838422288,104.33287242521325,0.18991352670668268,0.17684298807688872,0.7911898022508254
national_yearly,structure_drivers,valid,3,690.483530532491,731.1725897316561,0.06439629326730452,0.06213797223804849,-6.918293607374358
province_pooled,structure_drivers,all,1020,27.440110453238137,49.51560477310588,0.1398220250932074,0.13786328207490703,0.9263774432604279
national_yearly,structure_drivers,all,34,395.7068558572124,462.0902165308354,0.07086072121226379,0.07088776161110512,0.9784204455917543
province_pooled,with_energy,train,930,21.43755216498398,34.89106047286007,0.12985274118447368,0.12837062620877368,0.9581711797519309
national_yearly,with_energy,train,31,360.6810582353792,405.7354130734921,0.07358968894747704,0.07351465556093852,0.9810940907765984
province_pooled,with_energy,valid,90,64.87413014614386,94.06502530135793,0.1790697727574719,0.16948005833861324,0.8302672180527602
national_yearly,with_energy,valid,3,802.740998786092,817.8890904856547,0.07457383667009092,0.07178229510599028,-8.907877481322666
province_pooled,with_energy,all,1020,25.27019139861573,43.48213158480411,0.1341954204409147,0.13199792904375954,0.9432261466368632
national_yearly,with_energy,all,34,399.6863471075009,457.29658547900675,0.0736765255112371,0.07336180022667838,0.9788658472150324
