model,year,co2_actual,co2_pred,split
core_drivers,1990,2009.676,1735.829173375924,train
core_drivers,1991,2111.053,1868.6121802126102,train
core_drivers,1992,2268.867,2035.9690336131857,train
core_drivers,1993,2525.8450000000003,2255.139551989294,train
core_drivers,1994,2612.9139999999998,2508.392707614225,train
core_drivers,1995,2891.812,2763.1053011044546,train
core_drivers,1996,3007.139,3048.7862155753087,train
core_drivers,1997,3036.334,3290.0483795013015,train
core_drivers,1998,3049.416,3404.062889354079,train
core_drivers,1999,3095.0009999999997,3517.3661535992287,train
core_drivers,2000,3249.583,3725.4216355185395,train
core_drivers,2001,3399.643,3902.3064775190624,train
core_drivers,2002,3694.849,4133.523926861988,train
core_drivers,2003,4222.036,4489.736340214599,train
core_drivers,2004,4780.082,4922.393669719494,train
core_drivers,2005,5544.504,5274.586245246657,train
core_drivers,2006,6158.827,5701.376507499061,train
core_drivers,2007,6755.611,6154.288592899334,train
core_drivers,2008,7149.359,6689.8618566496825,train
core_drivers,2009,7509.528,6875.946707984055,train
core_drivers,2010,8192.231,7580.932399408142,train
core_drivers,2011,9105.687,8229.077818157348,train
core_drivers,2012,9326.903,8571.435933756957,train
core_drivers,2013,9391.12,8921.414848241162,train
core_drivers,2014,9281.616,9125.855321558745,train
core_drivers,2015,9182.768,9240.346627867428,train
core_drivers,2016,9245.982,9492.82607261009,train
core_drivers,2017,9455.126,9858.241579326088,train
core_drivers,2018,9780.265,10187.570968129705,train
core_drivers,2019,10081.49,10347.150199961532,train
core_drivers,2020,10157.699,10511.89847016809,train
core_drivers,2021,10633.348,11217.911062435887,valid
core_drivers,2022,10605.248,11615.841524036217,valid
core_drivers,2023,11169.962,11517.778283933547,valid
structure_drivers,1990,2009.676,1749.1704341705672,train
structure_drivers,1991,2111.053,1876.9761629359073,train
structure_drivers,1992,2268.867,2052.4507624339158,train
structure_drivers,1993,2525.8450000000003,2300.3477781371203,train
structure_drivers,1994,2612.9139999999998,2587.883181905922,train
structure_drivers,1995,2891.812,2862.923464785796,train
structure_drivers,1996,3007.139,3139.0441163810533,train
structure_drivers,1997,3036.334,3360.262311185104,train
structure_drivers,1998,3049.416,3457.716049172176,train
structure_drivers,1999,3095.0009999999997,3536.351930174842,train
structure_drivers,2000,3249.583,3643.124663643467,train
structure_drivers,2001,3399.643,3844.262303119764,train
structure_drivers,2002,3694.849,4049.253121758398,train
structure_drivers,2003,4222.036,4393.7947619514725,train
structure_drivers,2004,4780.082,4792.5512551523525,train
structure_drivers,2005,5544.504,5123.664017367257,train
structure_drivers,2006,6158.827,5546.972110239481,train
structure_drivers,2007,6755.611,6024.813008152352,train
structure_drivers,2008,7149.359,6655.259979343808,train
structure_drivers,2009,7509.528,6914.857744974823,train
structure_drivers,2010,8192.231,7577.936869630453,train
structure_drivers,2011,9105.687,8235.719619665862,train
structure_drivers,2012,9326.903,8588.92630546682,train
structure_drivers,2013,9391.12,8973.729873505266,train
structure_drivers,2014,9281.616,9239.311844258647,train
structure_drivers,2015,9182.768,9310.260234839483,train
structure_drivers,2016,9245.982,9498.497556409544,train
structure_drivers,2017,9455.126,9837.15348924253,train
structure_drivers,2018,9780.265,10241.689479406024,train
structure_drivers,2019,10081.49,10479.282455027012,train
structure_drivers,2020,10157.699,10712.141937058524,train
structure_drivers,2021,10633.348,11291.708401676511,valid
structure_drivers,2022,10605.248,11605.041886094905,valid
structure_drivers,2023,11169.962,11583.258303826056,valid
with_energy,1990,2009.676,1724.1548804727981,train
with_energy,1991,2111.053,1863.9674184240346,train
with_energy,1992,2268.867,2032.8088535586692,train
with_energy,1993,2525.8450000000003,2240.611841169182,train
with_energy,1994,2612.9139999999998,2473.12834518979,train
with_energy,1995,2891.812,2708.2195922314218,train
with_energy,1996,3007.139,2953.8701483492077,train
with_energy,1997,3036.334,3435.896462343867,train
with_energy,1998,3049.416,3508.0561104307435,train
with_energy,1999,3095.0009999999997,3563.454788248373,train
with_energy,2000,3249.583,3656.8602223407306,train
with_energy,2001,3399.643,3848.001705811987,train
with_energy,2002,3694.849,4060.8383305359534,train
with_energy,2003,4222.036,4418.3145756030235,train
with_energy,2004,4780.082,4822.446497659159,train
with_energy,2005,5544.504,5336.611769742502,train
with_energy,2006,6158.827,5778.055867577835,train
with_energy,2007,6755.611,6245.105084032475,train
with_energy,2008,7149.359,6742.406457632162,train
with_energy,2009,7509.528,7067.708422284743,train
with_energy,2010,8192.231,7673.032628436833,train
with_energy,2011,9105.687,8279.938304486488,train
with_energy,2012,9326.903,8642.728704011277,train
with_energy,2013,9391.12,8902.511304636997,train
with_energy,2014,9281.616,9188.229157177966,train
with_energy,2015,9182.768,9310.136394457875,train
with_energy,2016,9245.982,9511.388649708902,train
with_energy,2017,9455.126,9810.77709290793,train
with_energy,2018,9780.265,10245.563850704399,train
with_energy,2019,10081.49,10573.107197156205,train
with_energy,2020,10157.699,10856.941706801987,train
with_energy,2021,10633.348,11352.783887605652,valid
with_energy,2022,10605.248,11627.459927002566,valid
with_energy,2023,11169.962,11836.537181750056,valid
