year,energy_pred,co2_pred
2024,398954.4582593286,11232.925734302233
2025,409698.84778932726,11551.63071000558
2026,420772.1020981573,11880.597982384834
2027,432350.6819323159,12225.186081322809
2028,444383.5330113466,12583.930515624827
2029,456896.76740339067,12957.685235732837
2030,469911.7447685146,13347.152569156755
2031,483448.78833154606,13753.005874263561
2032,497528.056890461,14175.917962747382
2033,512166.591835853,14616.472748399863
2034,527369.4703978105,15074.898381292578
2035,543155.5075407794,15551.848642875366
